Age,Driving_experience,Bonus_Malus,Model,Brand,Vehicle_type,Steering_wheel_location,Color,Insurance_premium,Privileges,Car_age,Insurance_months,Region
30,10,8,Other,Other,Легковые автомобили,Слева,Красный,17625,Не инвалид,25,12,Алматинская область
36,17,8,Other,Other,Легковые автомобили,Слева,Синий,8484,Не инвалид,24,12,Астана
46,28,8,Other,Other,Мотоциклы,Слева,Красный,8031,Не инвалид,20,12,Алматинская область
45,13,7,80,Audi,Легковые автомобили,Слева,Прочие,6709,Не инвалид,33,6,Астана
48,18,9,С4,Audi,Легковые автомобили,Слева,Прочие,8257,Не инвалид,30,12,Unknown
51,19,3,100,Audi,Легковые автомобили,Слева,Серый,4025,Не инвалид,43,6,Акмолинская область
64,14,8,B4,Audi,Легковые автомобили,Слева,Прочие,9051,Не инвалид,33,12,Северо-Казахстанская область
61,15,8,Other,Audi,Легковые автомобили,Слева,Прочие,19975,Не инвалид,23,12,Алматинская область
44,11,8,80,Audi,Легковые автомобили,Слева,Прочие,3623,Не инвалид,37,6,Костанайская область
60,39,7,A6,Audi,Легковые автомобили,Слева,Серый,9860,Не инвалид,29,12,Павлодарская область
32,14,8,80,Audi,Легковые автомобили,Слева,Красный,5988,Не инвалид,37,12,Акмолинская область
50,31,9,100,Audi,Легковые автомобили,Слева,Белый,8627,Не инвалид,37,12,Павлодарская область
63,19,7,Other,Audi,Легковые автомобили,Слева,Серый,3203,Не инвалид,32,6,Акмолинская область
33,13,7,Other,Audi,Легковые автомобили,Слева,Серый,6388,Не инвалид,33,12,Акмолинская область
69,20,9,100,Audi,Легковые автомобили,Слева,Коричневый,5589,Инвалид ,40,12,Акмолинская область
59,32,5,Other,Audi,Легковые автомобили,Слева,Черный,6653,Не инвалид,35,6,Костанайская область
60,10,7,B4,Audi,Легковые автомобили,Слева,Синий,7545,Инвалид ,31,12,Акмолинская область
78,35,9,80,Audi,Легковые автомобили,Слева,Серый,5822,Инвалид ,39,12,Астана
46,19,4,80,Audi,Легковые автомобили,Слева,Прочие,7585,Не инвалид,39,12,Акмолинская область
29,10,4,С4,Audi,Легковые автомобили,Слева,Прочие,4670,Не инвалид,33,7,Акмолинская область
50,17,9,A6,Audi,Легковые автомобили,Слева,Прочие,6388,Не инвалид,22,12,Акмолинская область
59,14,6,80,Audi,Легковые автомобили,Слева,Прочие,19024,Не инвалид,34,12,Алматинская область
66,25,8,С4,Audi,Легковые автомобили,Слева,Белый,8075,Не инвалид,33,12,Алматинская область
34,16,8,Other,Audi,Легковые автомобили,Слева,Прочие,5517,Не инвалид,30,9,Акмолинская область
38,15,3,A6,Audi,Легковые автомобили,Слева,Прочие,7582,Не инвалид,17,6,Астана
30,11,9,80,Audi,Легковые автомобили,Слева,Серый,5988,Не инвалид,32,12,Акмолинская область
37,13,9,80,Audi,Легковые автомобили,Слева,Прочие,7039,Не инвалид,37,12,Северо-Казахстанская область
36,17,6,С4,Audi,Легковые автомобили,Слева,Синий,7186,Не инвалид,34,12,Акмолинская область
52,28,8,С4,Audi,Легковые автомобили,Слева,Серый,5254,Не инвалид,31,6,Unknown
41,19,5,Other,Audi,Легковые автомобили,Слева,Прочие,3623,Не инвалид,34,6,Акмолинская область
30,11,5,80,Audi,Легковые автомобили,Слева,Прочие,8930,Не инвалид,34,12,Северо-Казахстанская область
30,11,5,80,Audi,Легковые автомобили,Слева,Прочие,9503,Не инвалид,34,12,Северо-Казахстанская область
40,18,5,Unknown,Audi,Легковые автомобили,Слева,Черный,4742,Не инвалид,29,6,Акмолинская область
38,20,8,80,Audi,Легковые автомобили,Слева,Прочие,7542,Не инвалид,34,12,Северо-Казахстанская область
50,23,8,B4,Audi,Легковые автомобили,Слева,Прочие,11058,Не инвалид,31,12,Костанайская область
50,23,8,B4,Audi,Легковые автомобили,Слева,Прочие,11058,Не инвалид,31,12,Костанайская область
51,20,9,С4,Audi,Легковые автомобили,Слева,Синий,2795,Инвалид ,30,12,Акмолинская область
54,10,5,С4,Audi,Легковые автомобили,Слева,Прочие,3465,Не инвалид,33,7,Туркестанская область
35,6,7,A6,Audi,Легковые автомобили,Слева,Черный,17905,Не инвалид,20,12,Алматинская область
31,9,3,80,Audi,Легковые автомобили,Слева,Белый,4003,Не инвалид,35,6,Акмолинская область
53,20,8,B4,Audi,Легковые автомобили,Слева,Прочие,7542,Не инвалид,31,12,Северо-Казахстанская область
40,10,5,B4,Audi,Легковые автомобили,Слева,Синий,6983,Не инвалид,33,12,Северо-Казахстанская область
40,10,5,B4,Audi,Легковые автомобили,Слева,Синий,7241,Не инвалид,33,12,Северо-Казахстанская область
57,11,8,A6,Audi,Легковые автомобили,Слева,Черный,16783,Не инвалид,29,11,Алматинская область
44,10,8,80,Audi,Легковые автомобили,Слева,Синий,3781,Не инвалид,35,6,Северо-Казахстанская область
58,13,9,B4,Audi,Легковые автомобили,Слева,Серый,7985,Не инвалид,33,12,Акмолинская область
45,14,7,100,Audi,Легковые автомобили,Слева,Прочие,4943,Не инвалид,34,6,Павлодарская область
41,23,9,100,Audi,Легковые автомобили,Слева,Прочие,10321,Не инвалид,33,12,Костанайская область
34,14,3,Other,Audi,Легковые автомобили,Слева,Серый,4003,Не инвалид,29,6,Акмолинская область
43,21,8,Other,Audi,Легковые автомобили,Слева,Черный,14173,Не инвалид,23,12,Алматинская область
53,21,9,B4,Audi,Легковые автомобили,Слева,Белый,11062,Не инвалид,34,12,Северо-Казахстанская область
34,13,3,100,Audi,Легковые автомобили,Слева,Прочие,14962,Не инвалид,32,9,Алматинская область
61,29,9,Other,Audi,Легковые автомобили,Слева,Прочие,8676,Не инвалид,29,12,Астана
34,15,8,100,Audi,Легковые автомобили,Слева,Белый,4479,Не инвалид,34,6,Карагандинская область
40,15,8,С4,Audi,Легковые автомобили,Слева,Белый,7186,Не инвалид,30,12,Акмолинская область
47,20,7,Other,Audi,Легковые автомобили,Слева,Прочие,3203,Не инвалид,28,6,Акмолинская область
44,12,7,80,Audi,Легковые автомобили,Слева,Красный,4043,Не инвалид,34,8,Unknown
63,31,8,80,Audi,Легковые автомобили,Слева,Прочие,7656,Не инвалид,35,12,Актюбинская область
61,20,9,B4,Audi,Легковые автомобили,Слева,Синий,6388,Не инвалид,31,12,Акмолинская область
28,10,6,B4,Audi,Легковые автомобили,Слева,Прочие,7126,Не инвалид,32,12,Unknown
34,16,8,Other,Audi,Легковые автомобили,Слева,Прочие,9244,Не инвалид,34,12,Павлодарская область
55,19,8,A6,Audi,Легковые автомобили,Слева,Прочие,3802,Не инвалид,30,6,Акмолинская область
59,41,9,80,Audi,Легковые автомобили,Слева,Прочие,7145,Не инвалид,37,12,Актюбинская область
42,17,6,С4,Audi,Легковые автомобили,Слева,Черный,4107,Не инвалид,31,7,Кызылординская область
29,8,5,80,Audi,Легковые автомобили,Слева,Серый,7545,Не инвалид,37,12,Северо-Казахстанская область
39,10,6,С4,Audi,Легковые автомобили,Слева,Прочие,7128,Не инвалид,33,6,Астана
34,8,5,80,Audi,Легковые автомобили,Слева,Прочие,9051,Не инвалид,39,12,Unknown
42,16,5,Other,Audi,Легковые автомобили,Слева,Прочие,20143,Не инвалид,28,12,Алматинская область
45,19,9,Other,Audi,Легковые автомобили,Слева,Черный,5589,Не инвалид,32,12,Акмолинская область
56,31,9,A6,Audi,Легковые автомобили,Слева,Прочие,15720,Не инвалид,28,12,Астана
33,15,9,Other,Audi,Легковые автомобили,Слева,Прочие,174,Не инвалид,27,1,Северо-Казахстанская область
66,11,9,100,Audi,Легковые автомобили,Слева,Черный,15667,Не инвалид,36,12,Алматинская область
52,20,9,Other,Audi,Легковые автомобили,Слева,Прочие,15667,Не инвалид,24,12,Алматинская область
71,53,8,С4,Audi,Легковые автомобили,Слева,Белый,2787,Инвалид ,33,6,Костанайская область
65,14,8,80,Audi,Легковые автомобили,Слева,Белый,16786,Инвалид ,35,12,Алматинская область
30,11,5,B4,Audi,Легковые автомобили,Слева,Синий,5619,Не инвалид,33,6,Unknown
45,14,8,Other,Audi,Легковые автомобили,Слева,Белый,5988,Не инвалид,31,12,Акмолинская область
48,14,9,B4,Audi,Легковые автомобили,Слева,Прочие,5589,Не инвалид,33,12,Акмолинская область
57,19,7,80,Audi,Легковые автомобили,Слева,Прочие,6388,Не инвалид,34,12,Акмолинская область
56,38,8,С4,Audi,Легковые автомобили,Слева,Синий,5988,Не инвалид,28,12,Северо-Казахстанская область
51,19,7,100,Audi,Легковые автомобили,Слева,Красный,17905,Не инвалид,35,12,Алматинская область
52,20,7,100,Audi,Легковые автомобили,Слева,Прочие,17905,Не инвалид,33,12,Алматинская область
33,13,6,100,Audi,Легковые автомобили,Слева,Прочие,8548,Не инвалид,32,12,Алматинская область
48,30,9,A6,Audi,Легковые автомобили,Слева,Прочие,14597,Не инвалид,25,12,Костанайская область
37,14,6,Other,Audi,Легковые автомобили,Слева,Прочие,7089,Не инвалид,33,6,Астана
30,12,8,A6,Audi,Легковые автомобили,Слева,Прочие,3153,Не инвалид,31,6,Астана
37,19,3,B4,Audi,Легковые автомобили,Слева,Прочие,12385,Не инвалид,33,12,Unknown
45,7,4,B4,Audi,Легковые автомобили,Слева,Серый,7965,Не инвалид,33,12,Акмолинская область
54,18,5,Other,Audi,Легковые автомобили,Слева,Прочие,4504,Не инвалид,34,6,Акмолинская область
28,6,3,80,Audi,Легковые автомобили,Слева,Черный,18298,Не инвалид,32,12,Астана
53,35,5,С4,Audi,Легковые автомобили,Слева,Прочие,13933,Не инвалид,33,12,Костанайская область
35,11,9,80,Audi,Легковые автомобили,Слева,Красный,6987,Не инвалид,34,12,Акмолинская область
57,20,8,80,Audi,Легковые автомобили,Слева,Черный,7545,Не инвалид,33,12,Костанайская область
70,19,9,100,Audi,Легковые автомобили,Слева,Красный,2795,Инвалид ,36,12,Акмолинская область
32,11,6,A6,Audi,Легковые автомобили,Слева,Прочие,6394,Не инвалид,23,9,Алматинская область
35,13,6,B4,Audi,Легковые автомобили,Слева,Прочие,4277,Не инвалид,31,6,Акмолинская область
38,17,3,С4,Audi,Легковые автомобили,Слева,Прочие,4003,Не инвалид,33,6,Акмолинская область
38,17,8,С4,Audi,Легковые автомобили,Слева,Прочие,5988,Не инвалид,33,12,Акмолинская область
60,39,8,80,Audi,Легковые автомобили,Слева,Прочие,9244,Не инвалид,38,12,Павлодарская область
58,11,6,100,Audi,Легковые автомобили,Слева,Красный,19024,Не инвалид,32,12,Алматинская область
42,20,8,A6,Audi,Легковые автомобили,Слева,Прочие,8045,Не инвалид,26,12,Северо-Казахстанская область
64,9,8,Other,Audi,Легковые автомобили,Слева,Синий,5988,Не инвалид,27,12,Акмолинская область
59,6,3,Other,Audi,Легковые автомобили,Слева,Синий,4203,Не инвалид,34,6,Акмолинская область
48,9,8,100,Audi,Легковые автомобили,Слева,Красный,1877,Не инвалид,34,6,Акмолинская область
38,14,9,Other,Audi,Легковые автомобили,Слева,Желтый,3549,Не инвалид,33,6,Северо-Казахстанская область
58,10,8,Other,Audi,Легковые автомобили,Слева,Прочие,14846,Не инвалид,34,12,Астана
48,15,9,Other,Audi,Легковые автомобили,Слева,Черный,18298,Не инвалид,29,12,Астана
66,44,3,B4,Audi,Легковые автомобили,Слева,Прочие,7985,Не инвалид,33,12,Unknown
45,21,9,Other,Audi,Легковые автомобили,Слева,Синий,6388,Не инвалид,33,12,Акмолинская область
38,10,8,B4,Audi,Легковые автомобили,Слева,Серый,6034,Не инвалид,34,12,Unknown
72,43,9,B4,Audi,Легковые автомобили,Слева,Черный,14007,Инвалид ,31,12,Костанайская область
44,7,4,A6,Audi,Легковые автомобили,Слева,Прочие,7965,Не инвалид,25,12,Акмолинская область
59,19,9,С4,Audi,Легковые автомобили,Слева,Прочие,6987,Не инвалид,29,12,Акмолинская область
54,19,7,Other,Audi,Легковые автомобили,Слева,Синий,7077,Не инвалид,28,12,Западно-Казахстанская область
37,19,8,Other,Audi,Легковые автомобили,Слева,Белый,3203,Не инвалид,31,6,Северо-Казахстанская область
65,20,9,100,Audi,Легковые автомобили,Слева,Прочие,10208,Не инвалид,33,12,Актюбинская область
72,8,9,С4,Audi,Легковые автомобили,Слева,Красный,2795,Инвалид ,31,12,Северо-Казахстанская область
69,20,8,B4,Audi,Легковые автомобили,Слева,Прочие,2994,Инвалид ,31,12,Unknown
30,12,4,Other,Audi,Легковые автомобили,Слева,Прочие,8410,Не инвалид,29,7,Астана
48,20,9,Other,Audi,Легковые автомобили,Слева,Прочие,7656,Не инвалид,25,12,Актюбинская область
59,21,9,A6,Audi,Легковые автомобили,Слева,Белый,5209,Не инвалид,29,11,Западно-Казахстанская область
36,18,9,С4,Audi,Легковые автомобили,Слева,Красный,7039,Не инвалид,31,12,Северо-Казахстанская область
52,34,9,80,Audi,Легковые автомобили,Слева,Серый,5589,Не инвалид,31,12,Алматинская область
57,19,6,С4,Audi,Легковые автомобили,Слева,Прочие,4309,Не инвалид,30,6,Северо-Казахстанская область
30,12,3,B4,Audi,Легковые автомобили,Слева,Прочие,8384,Не инвалид,31,12,Акмолинская область
34,16,8,С4,Audi,Легковые автомобили,Слева,Прочие,3781,Не инвалид,31,6,Северо-Казахстанская область
41,15,6,A6,Audi,Легковые автомобили,Слева,Прочие,5641,Не инвалид,24,3,Алматинская область
32,2,8,80,Audi,Легковые автомобили,Слева,Черный,14680,Не инвалид,30,8,Алматинская область
55,16,8,80,Audi,Легковые автомобили,Слева,Черный,7545,Не инвалид,36,12,Акмолинская область
46,19,9,A6,Audi,Легковые автомобили,Слева,Прочие,15667,Не инвалид,28,12,Алматинская область
61,20,9,С4,Audi,Легковые автомобили,Слева,Синий,8548,Не инвалид,34,12,Северо-Казахстанская область
46,28,9,Other,Audi,Легковые автомобили,Слева,Серый,7145,Не инвалид,35,12,Актюбинская область
42,23,9,Other,Audi,Легковые автомобили,Слева,Черный,11458,Не инвалид,34,6,Костанайская область
50,32,9,A6,Audi,Легковые автомобили,Слева,Прочие,3510,Не инвалид,30,6,Северо-Казахстанская область
56,2,8,Other,Audi,Легковые автомобили,Слева,Прочие,8821,Не инвалид,17,7,Алматинская область
37,19,9,С4,Audi,Легковые автомобили,Слева,Серый,8404,Не инвалид,33,12,Западно-Казахстанская область
55,17,9,Other,Audi,Легковые автомобили,Слева,Прочие,4277,Не инвалид,33,12,Алматинская область
51,20,8,С4,Audi,Легковые автомобили,Слева,Фиолетовый,6635,Не инвалид,30,12,Западно-Казахстанская область
65,26,8,100,Audi,Легковые автомобили,Слева,Синий,16786,Не инвалид,31,12,Алматинская область
60,21,8,B4,Audi,Легковые автомобили,Слева,Прочие,5988,Не инвалид,31,12,Акмолинская область
45,16,9,B4,Audi,Легковые автомобили,Слева,Прочие,5838,Не инвалид,31,6,Астана
34,8,3,С4,Audi,Легковые автомобили,Слева,Синий,8340,Не инвалид,32,6,Unknown
42,23,8,A6,Audi,Легковые автомобили,Слева,Серый,12476,Не инвалид,27,12,Астана
45,3,8,Other,Audi,Легковые автомобили,Слева,Прочие,13610,Не инвалид,14,12,Астана
39,16,8,B4,Audi,Легковые автомобили,Слева,Прочие,8166,Не инвалид,32,12,Актюбинская область
37,11,6,80,Audi,Легковые автомобили,Слева,Прочие,3240,Не инвалид,34,6,Жамбылская область
35,13,6,80,Audi,Легковые автомобили,Слева,Белый,7128,Не инвалид,30,6,Астана
40,18,8,С4,Audi,Легковые автомобили,Слева,Красный,7542,Не инвалид,30,12,Северо-Казахстанская область
58,40,9,80,Audi,Легковые автомобили,Слева,Черный,9908,Не инвалид,35,12,Костанайская область
34,16,8,Other,Audi,Легковые автомобили,Слева,Прочие,12476,Не инвалид,22,12,Unknown
72,10,7,B4,Audi,Легковые автомобили,Слева,Прочие,3194,Инвалид ,33,12,Unknown
37,14,3,С4,Audi,Легковые автомобили,Слева,Прочие,5031,Не инвалид,33,6,Акмолинская область
